hkl	s1	hs2
220	-6.44e-6	28.67e-6
124	-6.59e-6	29.32e-6
106	-5.96e-6	27.23e-6
205	-6.59e-6	29.32e-6
006	-5.63e-6	26.46e-6
302	-6.59e-6	29.32e-6
123	-6.59e-6	29.32e-6
300	-6.44e-6	28.67e-6
204	-6.59e-6	29.32e-6
122	-6.59e-6	29.32e-6
105	-6.09e-6	27.83e-6
114	-6.59e-6	29.32e-6
211	-6.44e-6	28.67e-6
120	-6.44e-6	28.67e-6
203	-6.59e-6	29.32e-6
104	-6.09e-6	27.83e-6
202	-6.59e-6	29.32e-6
004	-5.63e-6	26.46e-6
201	-6.44e-6	28.67e-6
112	-6.59e-6	29.32e-6
200	-6.44e-6	28.67e-6
103	-6.44e-6	28.67e-6
110	-6.44e-6	28.67e-6
102	-6.74e-6	30.01e-6
101	-6.59e-6	29.32e-6
002	-5.63e-6	26.32e-6
100	-6.44e-6	28.67e-6
