Name	Number	Kalpha1	Kalpha2	Kbeta1	Lalpha1	Lalpha2	Lbeta1	Lbeta2	Lgamma1
Li	3	0.0543	0	0	0	0	0	0	0
Be	4	0.1085	0	0	0	0	0	0	0
B	5	0.1833	0	0	0	0	0	0	0
C	6	0.277	0	0	0	0	0	0	0
N	7	0.3924	0	0	0	0	0	0	0
O	8	0.5249	0	0	0	0	0	0	0
F	9	0.6768	0	0	0	0	0	0	0
Ne	10	0.8486	0.8486	0	0	0	0	0	0
Na	11	1.04098	1.04098	1.0711	0	0	0	0	0
Mg	12	1.2536	1.2536	1.3022	0	0	0	0	0
Al	13	1.4867	1.48627	1.55745	0	0	0	0	0
Si	14	1.73998	1.73938	1.83594	0	0	0	0	0
P	15	2.0137	2.0127	2.1391	0	0	0	0	0
S	16	2.30784	2.30664	2.46404	0	0	0	0	0
Cl	17	2.62239	2.62078	2.8156	0	0	0	0	0
Ar	18	2.9577	2.95563	3.1905	0	0	0	0	0
K	19	3.3138	3.3111	3.5896	0	0	0	0	0
Ca	20	3.69168	3.68809	4.0127	0	0	0	0	0
Sc	21	4.0906	4.0861	4.4605	0.3954	0.3954	0.3996	0	0
Ti	22	4.51084	4.50486	4.93181	0.4522	0.4522	0.4584	0	0
V	23	4.9522	4.94464	5.42729	0.5113	0.5113	0.5192	0	0
Cr	24	5.41472	5.40551	5.94671	0.5728	0.5728	0.5828	0	0
Mn	25	5.89875	5.88765	6.49045	0.6374	0.6374	0.6488	0	0
Fe	26	6.40384	6.39084	7.05798	0.7050	0.7050	0.7185	0	0
Co	27	6.93032	6.91530	7.64943	0.7762	0.7762	0.7914	0	0
Ni	28	7.47815	7.46089	8.26466	0.8515	0.8515	0.8688	0	0
Cu	29	8.04778	8.02783	8.90529	0.9297	0.9297	0.9498	0	0
Zn	30	8.63886	8.61578	9.572	1.0117	1.0117	1.0347	0	0
Ga	31	9.25174	9.22482	10.2642	1.09792	1.09792	1.1248	0	0
Ge	32	9.88642	9.85532	10.9821	1.188	1.188	1.2185	2.2194	2.3027
As	33	10.54372	10.50799	11.7262	1.282	1.282	1.317	2.367	2.4618
Se	34	11.2224	11.1814	12.4959	1.3791	1.3791	1.41923	2.5183	2.6235
Br	35	11.9242	11.8776	13.2914	1.48043	1.48043	1.5259	0	0
Kr	36	12.649	12.598	14.112	1.586	1.586	1.6366	2.836	2.9645
Rb	37	13.3953	13.3358	14.9613	1.69413	1.69256	1.75217	3.0013	3.1438
Sr	38	14.165	14.0979	15.8357	1.80656	1.80474	1.87172	3.17179	3.3287
Y	39	14.9584	14.8829	16.7378	1.92256	1.92047	1.99584	3.34781	3.51959
Zr	40	15.7751	15.6909	17.6678	2.04236	2.0399	2.1244	3.52812	2.71686
Nb	41	16.6151	16.521	18.6225	2.16589	2.163	2.2574	3.71381	3.92081
Mo	42	17.47934	17.37430	19.60830	2.2932	2.2899	2.3948	2.5183	2.6235
Tc	43	18.3671	18.2508	20.619	2.424	0	2.5368	4.10078	4.34779
Ru	44	19.2792	19.1504	21.6568	2.55855	2.55431	2.68323	4.3017	4.5709
Rh	45	20.2161	20.0737	22.7236	2.69674	2.69205	2.83441	4.5075	4.8009
Pd	46	21.1771	21.0201	23.8187	2.83861	2.83325	2.99022	0	0
Ag	47	22.16292	21.99030	24.94240	2.9843	2.9782	3.1509	3.3478	3.5196
Cd	48	23.1736	22.9841	26.0955	3.13373	3.12691	3.31657	5.1565	5.5311
In	49	24.2097	24.002	27.2759	3.28694	3.27929	3.48721	5.3835	5.7885
Sn	50	25.2713	25.044	28.486	3.44398	3.43542	3.6628	5.6134	6.052
Sb	51	26.3591	26.1108	29.7256	3.60472	3.59532	3.84357	5.85	6.3221
Te	52	27.4723	27.2017	30.9957	3.76933	3.7588	4.02958	6.0894	6.6021
I	53	28.612	28.3172	32.2947	3.93765	3.92604	4.22072	6.339	6.892
Xe	54	29.779	29.458	33.624	4.1099	0	0	6.586	7.178
Cs	55	30.9728	30.6251	34.9869	4.2865	4.2722	4.6198	6.8432	7.4803
Ba	56	32.1936	31.8171	36.3782	4.46626	4.4509	4.82753	7.1028	7.7858
La	57	33.4418	33.0341	37.801	4.65097	4.63423	5.0421	7.3667	8.102
Ce	58	34.7197	34.2789	39.2573	4.8402	4.823	5.2622	7.6357	8.4188
Pr	59	36.0263	35.5502	40.7482	5.0337	5.0135	5.4889	7.911	8.747
Nd	60	37.361	36.8474	42.2713	5.2304	5.2077	5.7216	8.189	9.089
Pm	61	38.7247	38.1712	43.826	5.4325	5.4078	5.961	8.468	9.426
Sm	62	40.1181	39.5224	45.413	5.6361	5.609	6.2051	8.7588	9.7801
Eu	63	41.5422	40.9019	47.0379	5.8457	5.8166	6.4564	9.0489	10.1434
Gd	64	42.9962	42.3089	48.697	6.0572	6.025	6.7132	9.3473	10.5158
Tb	65	44.4816	43.7441	50.382	6.2728	6.238	6.978	9.6518	10.8952
Dy	66	45.9984	45.2078	52.119	6.4952	6.4577	7.2477	9.9615	11.2859
Ho	67	47.5467	46.6997	53.877	6.7198	6.6795	7.5253	10.2752	11.6854
Er	68	49.1277	48.2211	55.681	6.9487	6.905	7.8109	10.5985	12.0953
Tm	69	50.7416	49.7726	57.517	7.1799	7.1331	8.101	10.9203	12.5126
Yb	70	52.3889	51.354	59.37	7.4156	7.3673	8.4018	11.2505	12.942
Lu	71	54.0698	52.965	61.283	7.6555	7.6049	8.709	11.5847	13.3817
Hf	72	55.7902	54.6114	63.234	7.899	7.8446	9.0227	11.9241	13.8301
Ta	73	57.532	56.277	65.223	8.1461	8.0879	9.3431	12.2715	14.2915
W	74	59.31824	57.98170	67.24430	8.3976	8.3352	9.6724	9.9615	11.2859
Re	75	61.1403	59.7179	69.31	8.6525	8.5862	10.01	12.9799	15.2477
Os	76	63.0005	61.4867	71.413	8.9117	8.841	10.3553	13.3404	15.744
Ir	77	64.8956	63.2867	73.5608	9.1751	9.0995	10.7083	0	16.251
Pt	78	66.832	65.112	75.748	9.4423	9.3618	11.0707	0	16.77
Au	79	68.80370	66.98950	77.98400	9.7133	9.6280	11.4423	11.5847	13.3817
Hg	80	70.819	68.895	80.253	9.9888	9.8976	11.8226	14.8414	17.849
Tl	81	72.8715	70.8319	82.576	10.2685	10.1728	12.2133	0	18.408
Pb	82	74.9694	72.8042	84.936	10.5515	10.4495	12.6137	15.6237	18.9825
Bi	83	77.1079	74.8148	87.343	10.8388	10.73091	13.0235	16.024	19.568
Po	84	79.29	76.862	89.8	11.1308	11.0158	13.447	16.4283	20.1671
At	85	81.52	78.95	92.3	11.4268	11.3048	13.876	16.84	20.7848
Rn	86	83.78	81.07	94.87	11.727	11.5979	14.316	17.2553	21.4173
Fr	87	86.1	83.23	97.47	12.0313	11.895	14.77	17.6765	22.0652
Ra	88	88.47	85.43	100.13	12.3397	12.1962	15.2358	0	0
Ac	89	90.884	87.67	102.85	12.652	12.5008	15.713	0	0
Th	90	93.35	89.953	105.609	12.9687	12.8096	16.2022	0	0
Pa	91	95.868	92.287	108.427	13.2907	13.1222	16.702	0	0
U	92	98.439	94.665	111.3	13.6147	13.4388	17.22	0	0
Np	93	0	0	0	13.9441	13.7597	17.7502	0	0
Pu	94	0	0	0	14.2786	14.0842	18.2937	0	0
Am	95	0	0	0	14.6172	14.4119	18.852	0	0
