Name	Number	Kalpha1	Kalpha2	Kbeta1	KalphaMean	AbsorpCoeff	UAnr_kV
Li	3	22.83319843	0	0	0	0	0
Be	4	11.42712143	0	0	0	0	0
B	5	6.764008046	0	0	0	0	0
C	6	4.475966335	0	0	0	0	0
N	7	3.159639844	0	0	0	0	0
O	8	2.36205501	0	0	0	0	0
F	9	1.831918846	0	0	0	0	0
Ne	10	1.461044868	1.461044868	0	1.46104404	0	0
Na	11	1.191034097	1.191034097	1.157541476	1.19103342	0	0
Mg	12	0.989025746	0.989025746	0.952113865	0.98902519	0	0
Al	13	0.833956195	0.834197471	0.796072217	0.83403613	0	0
Si	14	0.712561452	0.71280725	0.675317644	0.71264296	0	0
P	15	0.615703767	0.616009676	0.579609497	0	0	0
S	16	0.537230776	0.537510264	0.503174735	0	0	0
Cl	17	0.472791108	0.473081554	0.44034759	0	0	0
Ar	18	0.419191492	0.419485076	0.388604505	0	0	0
K	19	0.374145294	0.374450387	0.345398561	0	0	0
Ca	20	0.335847819	0.336174734	0.308979658	0	0	0
Sc	21	0.303095554	0.303429352	0.27796047	0	0	0
Ti	22	0.27485800	0.27522300	0.25139700	0.27498000	0	0
V	23	0.250361996	0.250744781	0.228445997	0.25048932	0	0	
Cr	24	0.22897263	0.22936513	0.20848881	0.22910346	0.2070200	5.98
Mn	25	0.21018543	0.21018543	0.19102164	0.21018543	0.1896360	6.54
Fe	26	0.19360413	0.19399733	0.17566055	0.19373520	0.1743460	7.11
Co	27	0.17889961	0.17928351	0.16208263	0.17902758	0.1608150	7.71
Ni	28	0.16579301	0.16617561	0.15001523	0.16592054	0.1488070	8.33
Cu	29	0.154059295	0.154442745	0.13922346	0.154187112	0.1380590	8.98
Zn	30	0.143519246	0.143903706	0.129528069	0.14364709	0	0
Ga	31	0.134011837	0.134402912	0.120792919	0.13414187	0	0
Ge	32	0.125408659	0.125804406	0.112896684	0.12554023	0	0
As	33	0.11759063	0.11799047	0.10573269	0	0	0
Se	34	0.11047928	0.110884386	0.099219958	0	0	0
Br	35	0.103977011	0.104384949	0.093281571	0	0	0
Kr	36	0.098019027	0.098415834	0.087857332	0	0	0
Rb	37	0.092558037	0.092971001	0.082869983	0	0	0
Sr	38	0.087528604	0.087945203	0.07829415	0	0	0
Y	39	0.082886049	0.083306525	0.074074411	0	0	0
Zr	40	0.0785949	0.0790167	0.0701753	0.0787359	0	0
Nb	41	0.0746214	0.0750465	0.0665777	0.0747627	0	0
Mo	42	0.07093000	0.07135900	0.06322880	0.07107300	0.0619780	20.0
Tc	43	0.067503453	0.067933607	0.060131077	0	0	0
Ru	44	0.064309861	0.06474239	0.057249579	0	0	0
Rh	45	0.061329469	0.061764531	0.054561895	0	0	0
Pd	46	0.058546386	0.058983672	0.052053331	0.05869139	0	0
Ag	47	0.05594075	0.05637980	0.04970690	0.05608710	0.0485890	25.5
Cd	48	0.053502377	0.053943495	0.047511742	0.05364858	0	0
In	49	0.051212641	0.051655807	0.04545561	0.05135949	0	0
Sn	50	0.049061294	0.049506575	0.043524632	0.0492088	0	0
