hkl	s1	hs2
226	-1.64e-6	7.29e-6
533	-2.19e-6	8.44e-6
335	-2.17e-6	8.75e-6
620	-1.23e-6	5.49e-6
602	-1.24e-6	5.54e-6
206	-1.28e-6	6.41e-6
424	-2.22e-6	8.76e-6
315	-1.81e-6	7.83e-6
440	-2.03e-6	7.85e-6
404	-1.96e-6	8.10e-6
115	-1.19e-6	6.17e-6
422	-1.99e-6	7.84e-6
224	-2.03e-6	8.35e-6
331	-2.12e-6	8.18e-6
313	-2.20e-6	8.49e-6
400	-0.78e-6	4.18e-6
004	-0.88e-6	5.48e-6
222	-2.35e-6	9.06e-6
311	-1.59e-6	6.57e-6
113	-1.64e-6	7.29e-6
220	-2.03e-6	7.84e-6
202	-1.98e-6	8.11e-6
200	-0.78e-6	4.18e-6
002	-0.88e-6	5.48e-6
111	-2.35e-6	9.06e-6
