hkl	s1	hs2
006	-2.34e-6	10.16e-6
302	-2.97e-6	11.98e-6
213	-2.83e-6	11.68e-6
300	-3.00e-6	12.09e-6
204	-2.74e-6	11.28e-6
105	-2.40e-6	10.40e-6
212	-2.97e-6	11.98e-6
114	-2.61e-6	11.01e-6
211	-3.00e-6	12.09e-6
210	-3.00e-6	12.09e-6
203	-2.78e-6	11.48e-6
104	-2.50e-6	10.56e-6
202	-2.95e-6	11.88e-6
004	-2.34e-6	10.16e-6
201	-3.00e-6	12.09e-6
112	-2.93e-6	11.68e-6
200	-3.00e-6	12.09e-6
103	-2.56e-6	10.83e-6
110	-3.00e-6	12.09e-6
102	-2.74e-6	11.28e-6
101	-2.95e-6	11.88e-6
002	-2.34e-6	10.16e-6
100	-3.00e-6	12.09e-6
