hkl	s1	hs2
413	-0.87e-6	4.10e-6
720	-0.87e-6	4.10e-6
323	-0.87e-6	4.10e-6
540	-0.87e-6	4.10e-6
303	-0.87e-6	4.10e-6
531	-0.87e-6	4.10e-6
701	-0.87e-6	4.10e-6
441	-0.87e-6	4.10e-6
203	-0.87e-6	4.10e-6
502	-0.87e-6	4.10e-6
521	-0.87e-6	4.10e-6
610	-0.87e-6	4.10e-6
142	-0.87e-6	4.10e-6
232	-0.87e-6	4.10e-6
430	-0.87e-6	4.10e-6
511	-0.87e-6	4.10e-6
212	-0.87e-6	4.10e-6
330	-0.87e-6	4.10e-6
411	-0.87e-6	4.10e-6
231	-0.87e-6	4.10e-6
002	-0.87e-6	4.10e-6
320	-0.87e-6	4.10e-6
221	-0.87e-6	4.10e-6
301	-0.87e-6	4.10e-6
210	-0.87e-6	4.10e-6
101	-0.87e-6	4.10e-6
200	-0.87e-6	4.10e-6
110	-0.87e-6	4.10e-6
100	-0.87e-6	4.10e-6
